Produto,UF,Ano,area_colhida_ha,area_plantada_ha,producao_t,produtividade_kg_ha,valor_producao_mil_reais
Algodao herbaceo (em caroco),Acre,2000,60,60,33,550,23
Algodao herbaceo (em caroco),Acre,2001,88,88,53,602,34
Algodao herbaceo (em caroco),Acre,2002,40,40,48,1200,48
Algodao herbaceo (em caroco),Acre,2003,,,,,
Algodao herbaceo (em caroco),Acre,2004,48,48,110,2291,198
Algodao herbaceo (em caroco),Acre,2005,105,105,126,1200,126
Algodao herbaceo (em caroco),Acre,2006,22,22,28,1272,17
Algodao herbaceo (em caroco),Acre,2007,,,,,
Algodao herbaceo (em caroco),Acre,2008,,,,,
Algodao herbaceo (em caroco),Acre,2009,,,,,
Algodao herbaceo (em caroco),Acre,2010,,,,,
Algodao herbaceo (em caroco),Acre,2011,,,,,
Algodao herbaceo (em caroco),Acre,2012,,,,,
Algodao herbaceo (em caroco),Acre,2013,,,,,
Algodao herbaceo (em caroco),Acre,2014,,,,,
Algodao herbaceo (em caroco),Acre,2015,,,,,
Algodao herbaceo (em caroco),Acre,2016,,,,,
Algodao herbaceo (em caroco),Acre,2017,,,,,
Algodao herbaceo (em caroco),Acre,2018,,,,,
Algodao herbaceo (em caroco),Acre,2019,,,,,
Algodao herbaceo (em caroco),Acre,2020,,,,,
Algodao herbaceo (em caroco),Acre,2021,,,,,
Algodao herbaceo (em caroco),Acre,2022,,,,,
Algodao herbaceo (em caroco),Acre,2023,,,,,
Algodao herbaceo (em caroco),Acre,2024,,,,,
Algodao herbaceo (em caroco),Alagoas,2000,6157,8400,2023,328,1297
Algodao herbaceo (em caroco),Alagoas,2001,14452,15910,6886,476,4158
Algodao herbaceo (em caroco),Alagoas,2002,14629,14829,9524,651,9847
Algodao herbaceo (em caroco),Alagoas,2003,5175,8965,905,174,1292
Algodao herbaceo (em caroco),Alagoas,2004,7635,9384,2258,295,2446
Algodao herbaceo (em caroco),Alagoas,2005,12590,12946,3959,314,3426
Algodao herbaceo (em caroco),Alagoas,2006,11011,11343,3229,293,2763
